"analysis","cancer_type","transition","gene","logFC","t","P.Value","adj.P.Val","n_early","n_late"
"metastasis","TGCT","M0s_M0l","RP11-147L13.14",-0.730156563706563,-3.19247328530912,0.00177625799626296,0.0466671419018178,74,49
"metastasis","TGCT","M0s_M0l","RP11-386M24.3",-0.752931687810258,-3.2953462825492,0.00127270703134199,0.0428839490291648,74,49
"metastasis","TGCT","M0s_M0l","PSMD6-AS2",-0.627814230557086,-3.34795010959553,0.00107012675556587,0.0393402988147738,74,49
"metastasis","TGCT","M0s_M0l","AC006145.4",-0.611796304467732,-3.1421850618403,0.00208487761531313,0.0486514608741083,74,49
"metastasis","TGCT","M0s_M0l","RP11-456K23.1",-0.876815747380031,-3.4876922421597,0.000668844353979822,0.0335648074775807,74,49
"metastasis","TGCT","M0s_M0l","RNASEH2B-AS1",-0.712659542195255,-3.15881587581234,0.00197769423360788,0.0483299158165754,74,49
"metastasis","TGCT","M0s_M0l","RP11-1069G10.1",-0.953858052950909,-3.21232114020596,0.00166659063899528,0.0459186266870077,74,49
"metastasis","TGCT","M0s_M0l","LINC01355",-0.58914470490899,-3.45215390920177,0.000754732647577523,0.0344754200600294,74,49
"metastasis","TGCT","M0s_M0l","RP11-434B12.1",-0.682328185328184,-3.74841967172902,0.000268488943938959,0.0249064928982388,74,49
"metastasis","TGCT","M0s_M0l","RP11-290O12.2",-0.736109100937671,-3.26767120839056,0.00139315318094254,0.0439309600427736,74,49
"metastasis","TGCT","M0s_M0l","LINC00337",0.977270711527853,3.67244302645495,0.000351964991400273,0.028437257477222,74,49
"metastasis","TGCT","M0s_M0l","RP11-996F15.4",-1.15621492002206,-4.59788258809258,1.01289496821232e-05,0.00742116537077458,74,49
"metastasis","TGCT","M0s_M0l","RP1-182D15.2",-0.786142388306673,-3.42556821837578,0.000825647744085801,0.0356001826045788,74,49
"metastasis","TGCT","M0s_M0l","AC007038.7",-0.677544098179811,-3.68870913765718,0.000332253111072704,0.0282120337112719,74,49
"metastasis","TGCT","M0s_M0l","RP11-379K17.12",-0.480821621621622,-3.15513746277155,0.00200095068056643,0.0483299158165754,74,49
"metastasis","TGCT","M0s_M0l","DLX6-AS1",-1.0344053778268,-3.13248674273355,0.00214984542176916,0.0494004235448729,74,49
"metastasis","TGCT","M0s_M0l","RP11-379H18.1",-0.677118891340319,-3.28814642058355,0.00130306968808526,0.0429586067665535,74,49
"metastasis","TGCT","M0s_M0l","RP13-104F24.2",-0.77389081632653,-4.27689879201088,3.68199990594195e-05,0.0102468693678696,74,49
"metastasis","TGCT","M0s_M0l","RP3-329A5.8",-0.545379040264753,-3.24352590414142,0.00150684080684861,0.0452989833806446,74,49
"metastasis","TGCT","M0s_M0l","RP11-689P11.2",-0.912035686707114,-4.3173262288165,3.1401596298813e-05,0.0095084527208059,74,49
"metastasis","TGCT","M0s_M0l","CTD-2368P22.1",-0.565642691671263,-3.40354813722188,0.000889071547395158,0.03572451126806,74,49
"metastasis","TGCT","M0s_M0l","RFX3-AS1",-0.667736155543297,-3.45925164454916,0.000736791420957161,0.0343128783031198,74,49
"metastasis","TGCT","M0s_M0l","RP11-31H5.3",-0.562675289575289,-3.61497656609343,0.000430833087272168,0.0299748131274359,74,49
"metastasis","TGCT","M0s_M0l","CTB-36H16.2",-0.640759100937671,-3.30665533576163,0.00122634648903497,0.0424643664452018,74,49
"metastasis","TGCT","M0s_M0l","LIFR-AS1",-0.671086155543297,-3.44274338435579,0.000779153356200091,0.0348485614195683,74,49
"metastasis","TGCT","M0s_M0l","RP3-512E2.2",0.511974269167125,3.13672224595239,0.00212124469911956,0.0490458818709856,74,49
"metastasis","TGCT","M0s_M0l","RP11-384P7.7",-0.78239829012686,-3.28804353501098,0.00130350842996729,0.0429586067665535,74,49
"metastasis","TGCT","M0s_M0l","RP11-1094M14.5",-0.90945104798676,-3.19823102371958,0.00174377210410498,0.0463131202802393,74,49
"metastasis","TGCT","M0s_M0l","RP4-669P10.20",-0.807043932708217,-3.29730495453491,0.00126456215179819,0.0428014414802323,74,49
"metastasis","TGCT","M0s_M0l","RP11-658F2.8",-0.740082597904025,-4.90592072806023,2.77698541013778e-06,0.0069700335012007,74,49
"metastasis","TGCT","M0s_M0l","RP11-378J18.8",-0.489887341423055,-3.20554225570403,0.00170331761927029,0.0460890555842688,74,49
"metastasis","TGCT","M0s_M0l","RP3-402G11.25",-0.678194760066188,-3.93899827485448,0.00013388015070579,0.0209578219250689,74,49
"metastasis","TGCT","M0s_M0l","RP4-669H2.1",-0.845197517926088,-3.45786490466965,0.000740264927175137,0.0343128783031198,74,49
"metastasis","TGCT","M0s_M0l","CTB-176F20.3",-0.717095835631549,-3.6988992568103,0.000320441774383533,0.0282120337112719,74,49
"metastasis","TGCT","M0s_M0l","RP11-193M21.1",-0.89299023717595,-3.13147761693683,0.00215671222269523,0.0494071208577195,74,49
"metastasis","TGCT","M0s_M0l","ARHGAP31-AS1",-0.731621676778819,-3.27481430312393,0.00136108601250169,0.0439309600427736,74,49
"metastasis","TGCT","M0s_M0l","CA3-AS1",-0.910101544401543,-3.54859238605231,0.000542666757669082,0.0328838549768184,74,49
"metastasis","TGCT","M0s_M0l","RP11-676J12.7",0.917419884169883,3.14748339462577,0.0020501590232847,0.0483740702683246,74,49
"metastasis","TGCT","M0s_M0l","RP11-416I2.1",-0.921316050744621,-4.20064955132801,4.95786403194758e-05,0.0124177967786847,74,49
"metastasis","TGCT","M0s_M0l","LINC00342",-0.713968063982349,-3.82390596278756,0.000204390706450522,0.0230716178979307,74,49
"metastasis","TGCT","M0s_M0l","ITPR1-AS1",-0.646909542195255,-3.55952037780842,0.000522545833367304,0.0321836835403436,74,49
"metastasis","TGCT","M0s_M0l","RP3-402G11.28",-0.522711665747379,-3.32831518577317,0.0011419273593698,0.0405342937330503,74,49
"metastasis","TGCT","M0s_M0l","AC009501.4",-0.964014616657472,-3.76902282547741,0.000249318835606122,0.0243878389125798,74,49
"metastasis","TGCT","M0s_M0l","MED14OS",-0.487787644787644,-3.66077331251583,0.000366783084409621,0.0287084176693114,74,49
"metastasis","TGCT","M0s_M0l","RP11-88I18.2",-0.606376778819635,-3.19693182839588,0.0017510536713176,0.0463131202802393,74,49
"metastasis","TGCT","M0s_M0l","FAM13A-AS1",-0.556723166023166,-3.18675766570225,0.00180906220916021,0.0470356174381654,74,49
"metastasis","TGCT","M0s_M0l","RP4-794H19.1",-0.617441726420297,-3.25638952677024,0.00144523852539201,0.0448740590074196,74,49
"metastasis","TGCT","M0s_M0l","RP4-791M13.3",-0.691168477661334,-3.29992136502091,0.00125375809619583,0.0426277752706583,74,49
"metastasis","TGCT","M0s_M0l","LINC00954",-0.966819580805293,-4.0118195349733,0.000101984878768765,0.0184254580225038,74,49
"metastasis","TGCT","M0s_M0l","LINC00926",-0.731313872035299,-3.61763865131708,0.000426837704342685,0.0299748131274359,74,49
"metastasis","TGCT","M0s_M0l","RP11-554I8.1",-0.611269305019305,-4.00920989253478,0.000102990316335528,0.0184254580225038,74,49
"metastasis","TGCT","M0s_M0l","RP11-713M15.2",-1.02354222283508,-3.23581681127246,0.00154492255810861,0.0457029452820003,74,49
"metastasis","TGCT","M0s_M0l","SLC25A21-AS1",-0.86701969111969,-3.47446872099828,0.000699668584429589,0.0341383749571684,74,49
"metastasis","TGCT","M0s_M0l","CTC-459F4.1",-0.690423965802536,-3.30111901961165,0.00124884139399002,0.0426277752706583,74,49
"metastasis","TGCT","M0s_M0l","AC007319.1",-0.678242801985658,-3.26058801779241,0.00142564630323846,0.044449403827941,74,49
"metastasis","TGCT","M0s_M0l","RP11-79H23.3",-0.80461552675124,-3.40779252958436,0.000876501701070944,0.0356001826045788,74,49
"metastasis","TGCT","M0s_M0l","CTD-2006C1.12",-0.65888301158301,-3.66129494122301,0.000366108313523908,0.0287084176693114,74,49
"metastasis","TGCT","M0s_M0l","RP11-818O24.3",-0.572876337562051,-3.24532408733591,0.00149808478963222,0.0452989833806446,74,49
"metastasis","TGCT","M0s_M0l","LINC00574",-1.07752625482625,-3.45900468813183,0.000737408874399854,0.0343128783031198,74,49
"metastasis","TGCT","M0s_M0l","SNRK-AS1",-1.00870708769994,-4.60864467592353,9.68988457145992e-06,0.00742116537077458,74,49
"metastasis","TGCT","M0s_M0l","CTD-2047H16.4",-0.766317512410368,-3.48139712288231,0.000683355547099222,0.0339987863579487,74,49
"metastasis","TGCT","M0s_M0l","LENG8-AS1",-0.443297076668505,-3.1688135259034,0.00191574720466477,0.0483299158165754,74,49
"metastasis","TGCT","M0s_M0l","RP1-20N2.8",-0.68147330391616,-3.53984814131684,0.000559290544187177,0.0330906232206492,74,49
"metastasis","TGCT","M0s_M0l","RP3-402G11.27",-0.5845666298952,-3.4244642232079,0.00082872369804782,0.0356001826045788,74,49
"metastasis","TGCT","M0s_M0l","ZEB1-AS1",-0.790842553778267,-4.41641572915857,2.1168998272733e-05,0.00926682168974439,74,49
"metastasis","TGCT","M0s_M0l","LINC01534",-0.524798152233866,-3.77187859905088,0.000246766509390044,0.0243878389125798,74,49
"metastasis","TGCT","M0s_M0l","RP11-326I11.3",-0.582332763375619,-3.49072623672765,0.000661954521690119,0.0335648074775807,74,49
"metastasis","TGCT","M0s_M0l","MANEA-AS1",-0.677301047986761,-3.16191121492395,0.00195831897851756,0.0483299158165754,74,49
"metastasis","TGCT","M0s_M0l","RP11-508N22.12",-0.761829867622724,-3.34599000417963,0.00107709989813649,0.0393402988147738,74,49
"metastasis","TGCT","M0s_M0l","RP11-582J16.4",-0.744077606177605,-3.6366183232672,0.000399350207535214,0.0298546151998473,74,49
"metastasis","TGCT","M0s_M0l","RP11-586K2.1",-0.684895339216767,-3.34558846892971,0.00107853361137123,0.0393402988147738,74,49
"metastasis","TGCT","M0s_M0l","RP5-1184F4.5",-0.698699834528405,-3.40356266623585,0.000889028232531468,0.03572451126806,74,49
"metastasis","TGCT","M0s_M0l","ZNF436-AS1",-0.689448345284059,-3.45687891703773,0.000742743982566515,0.0343128783031198,74,49
"metastasis","TGCT","M0s_M0l","CTC-301O7.4",-0.799227578599006,-3.597675781736,0.000457672372830509,0.0306477488493462,74,49
"metastasis","TGCT","M0s_M0l","RP3-461P17.10",-0.625800937672365,-3.30379499630497,0.00123792078452864,0.0424736839038731,74,49
"metastasis","TGCT","M0s_M0l","AC144836.1",1.02714735245449,3.63243131361682,0.000405266269681186,0.0298546151998473,74,49
"metastasis","TGCT","M0s_M0l","DNAJC27-AS1",-0.883470876999447,-3.47951202783301,0.000687758254778839,0.0339987863579487,74,49
