"analysis","cancer_type","transition","gene","logFC","t","P.Value","adj.P.Val","n_early","n_late"
"stage","BLCA","E_L","RP11-407G23.7",-0.387534238187669,-2.91261254522906,0.0037802472691172,0.0345808559367163,132,273
"stage","BLCA","E_L","EGFR-AS1",0.538260296876761,2.96432862567573,0.00321056879214328,0.0312632416353511,132,273
"stage","BLCA","E_L","FAM223A",-0.354093886811822,-3.19153416602917,0.00152421989454034,0.0195754071707633,132,273
"stage","BLCA","E_L","RP11-20I23.13",-0.432023106833036,-3.25488580724365,0.00122854588871117,0.016809460485885,132,273
"stage","BLCA","E_L","RP11-347C18.5",-0.390546744325395,-3.25988250739286,0.00120764883368815,0.0166665994883022,132,273
"stage","BLCA","E_L","L3MBTL4-AS1",0.510352403808525,3.50548697297336,0.000506100400009851,0.0092726900875368,132,273
"stage","BLCA","E_L","RP11-43F13.3",0.659901857793248,3.80158231000674,0.0001656209627031,0.00438173966056003,132,273
"stage","BLCA","E_L","FLJ16779",0.874410289616227,4.00703509453266,7.30335078238814e-05,0.00243600159282826,132,273
"stage","BLCA","E_L","CTC-524C5.2",-0.382107345220631,-3.03337482832262,0.00257222083378212,0.0274255518999913,132,273
"stage","BLCA","E_L","AF011889.2",-0.705362972255107,-3.96471669518311,8.67023056902379e-05,0.00274675083640986,132,273
"stage","BLCA","E_L","RP11-546J1.1",-0.453805735478486,-3.43263870169443,0.000658582524428546,0.0111990923844669,132,273
"stage","BLCA","E_L","LINC00174",-0.433834982502254,-3.60272852139591,0.000353585216304195,0.00724906539921398,132,273
"stage","BLCA","E_L","CTD-2196E14.5",-0.894846721844862,-4.84028892823941,1.83980821920348e-06,0.000167580245794877,132,273
"stage","BLCA","E_L","XXbac-BPG308K3.6",0.450812428816344,2.98056965618,0.0030485781047733,0.0303240779969338,132,273
"stage","BLCA","E_L","RP11-319F12.2",-0.937336473815082,-3.6888344502813,0.000255659622307277,0.0058010169104313,132,273
"stage","BLCA","E_L","RP1-79C4.4",0.785982649282986,4.34532566525837,1.75586281763799e-05,0.000862643195043756,132,273
"stage","BLCA","E_L","HAND2-AS1",1.12532499130809,4.62750951754585,4.97282986693055e-06,0.00035625576664662,132,273
"stage","BLCA","E_L","RP11-196G18.23",0.357654834824784,2.88548823648032,0.00411457466591982,0.0367945695230081,132,273
"stage","BLCA","E_L","RP11-20I20.4",0.470436476338773,3.10718080441434,0.00202032642455438,0.0234210932417431,132,273
"stage","BLCA","E_L","CTD-2033D15.2",0.798860907954662,4.67157983189061,4.05953494382729e-06,0.000297861631756493,132,273
"stage","BLCA","E_L","RP11-174G6.5",-0.495387875728632,-3.5056236745244,0.000505848191604615,0.0092726900875368,132,273
"stage","BLCA","E_L","RP1-50J22.4",-0.295825372654247,-2.91772543350802,0.00372007452753847,0.0344255372824169,132,273
"stage","BLCA","E_L","RP11-426C22.5",0.904215599275897,5.44880486917305,8.76853664806735e-08,1.33114737304946e-05,132,273
"stage","BLCA","E_L","RP11-30P6.6",-0.564737303145026,-3.04899207920022,0.00244503249414548,0.0265128013310742,132,273
