analysis,transition,cancer_type,n_genes_z_stratum,log2fc_mean,log2fc_std
metastasis,M0s_M0l,LIHC,5561,0.12833291418419204,0.2644621575918585
metastasis,M0s_M0l,LUAD,6706,-0.10979493796891383,0.2104356053278698
metastasis,M0s_M0l,LUSC,6936,-0.03369353736691455,0.1889227276158727
metastasis,M0s_M0l,PRAD,6717,-0.08093878653207874,0.770513177225309
metastasis,M0s_M0l,STAD,7673,0.06810871345049999,0.4634702170327974
metastasis,M0s_M0l,TGCT,7514,-0.16432505527831778,0.3386580695811781
metastasis,M0s_M0l,THCA,6552,-0.11792365434648293,0.1994160731890536
metastasis,M0l_M1L,BLCA,6343,0.004946292824048939,0.5579679368544248
metastasis,M0l_M1L,BRCA,6666,-0.09342981803738473,0.2791538285191264
metastasis,M0l_M1L,CESC,6444,0.09259600684802222,0.5084271069021734
metastasis,M0l_M1L,COAD,6197,0.11657956764725239,0.23512262166894002
metastasis,M0l_M1L,ESCA,8270,-0.09889771105859078,0.47162362272486474
metastasis,M0l_M1L,HNSC,6068,0.30776424027686217,0.6373804491521456
metastasis,M0l_M1L,KIRC,7182,0.04757499382322682,0.20095322367666932
metastasis,M0l_M1L,KIRP,6512,0.0847527935409186,0.5552603561340697
metastasis,M0l_M1L,LIHC,5649,-0.3527095177364898,0.6870148438293009
metastasis,M0l_M1L,LUAD,6664,0.1148915580186399,0.28695607978901844
metastasis,M0l_M1L,LUSC,6881,-0.19501765854111072,0.46196652495009133
metastasis,M0l_M1L,PRAD,6718,0.14414183333982053,0.9004507426906485
metastasis,M0l_M1L,STAD,7685,-0.16339749101806408,0.26555440013099685
metastasis,M0l_M1L,TGCT,7381,0.19624728417420348,0.8840364683158725
metastasis,M0l_M1L,THCA,6506,0.16267955145377214,0.5377163765525024
metastasis,ME_M1L,BLCA,6360,0.00016394467168018214,0.55854486293588
metastasis,ME_M1L,BRCA,6718,-0.11584064846710232,0.28932495607284514
metastasis,ME_M1L,CESC,6410,0.009559356816377896,0.48901290590108654
metastasis,ME_M1L,COAD,6175,0.12280746323694754,0.23575955992865222
metastasis,ME_M1L,ESCA,8202,-0.0668657852904634,0.43323307280969164
metastasis,ME_M1L,HNSC,6073,0.31157881214252464,0.6404885383388564
metastasis,ME_M1L,KIRC,7186,0.023879406404488556,0.2802542311521271
metastasis,ME_M1L,KIRP,6529,0.009369709053816963,0.5493533896994662
metastasis,ME_M1L,LIHC,5546,-0.29425609170850797,0.6917643317379178
metastasis,ME_M1L,LUAD,6696,0.0819174499078627,0.2943150657813151
metastasis,ME_M1L,LUSC,6930,-0.20181773319128532,0.45981935187733075
metastasis,ME_M1L,PRAD,6726,0.14415399943668267,0.9002969921673213
