dipeptide,count_lnc,count_proteome,log2_fold_change_lnc_over_proteome,fisher_p_two_sided,q_value_fdr_bh,category,peptide_fasta,peptide_set
WE,142,9406,0.5792753698446554,7.342436305455269e-06,1.3788612780197689e-05,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WF,53,5129,0.04076406207046843,0.8343053542378172,0.8645651339251992,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WG,158,8512,0.876871418111648,4.8238249776951455e-12,1.5436239928624464e-11,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WH,49,3433,0.5077919375618036,0.0211468225726961,0.027642905323785754,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WI,115,6300,0.8543979988374282,8.695972613434513e-09,2.1471537317122257e-08,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WK,149,9324,0.6610905883036096,2.186791899530876e-07,4.7538954337627745e-07,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WL,304,14004,1.100595128050688,8.376497611370658e-32,1.196642515910094e-30,enriched,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WM,88,3307,1.399979674675995,7.207936846073248e-15,2.8546284538903956e-14,enriched,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WN,84,6058,0.4600340706169784,0.005751708035010189,0.008275838899295236,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WP,168,6225,1.4165303506318705,1.3611061566968335e-27,1.2373692333607576e-26,enriched,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WQ,101,6178,0.6961945713547999,8.149682607654062e-06,1.5233051603091705e-05,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WR,237,8507,1.461163738124976,2.912699903449497e-40,6.472666452109993e-39,enriched,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WS,225,10066,1.1436086465129864,1.710952164252446e-25,1.4257934702103716e-24,enriched,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WT,106,7618,0.46331792664692106,0.0019726206124209967,0.0030116345227801473,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WV,108,8298,0.366815928663904,0.01161724973528137,0.015646127589604538,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WW,71,2229,1.6612664182235215,5.630474130838219e-16,2.5024329470392084e-15,enriched,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WY,28,3951,-0.4913951129068263,0.06626837416360767,0.08106223139279226,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YA,44,15804,-1.8484147768813077,4.444409874731917e-27,3.95058655531726e-26,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YC,65,7775,-0.2673971674418928,0.13977012252299628,0.1678920390666622,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YD,23,14230,-2.618210315111938,1.9284183097340312e-35,3.5062151086073296e-34,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YE,60,19515,-1.7095700025660452,4.513478852005185e-30,5.470883456975982e-29,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YF,78,14092,-0.8641196323779102,5.09749574127396e-09,1.3154827719416671e-08,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YG,100,19072,-0.9442550853606594,3.109638969791084e-13,1.0969959104057773e-12,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YH,49,8519,-0.8032968615882193,2.155267306892421e-05,3.883364516923281e-05,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YI,84,15220,-0.8689491302834597,1.2398747907985848e-09,3.373808954553972e-09,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
